User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 156,,,,
Test Name: CDI,,,,
Date: 07/04/2021,,,,
Time: 16:51:05,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,2
B,1,A,Sample X1,27
C,1,A,Sample X1,44
D,1,A,Sample X1,34
E,1,B,Sample X1,68
F,1,B,Sample X1,41
G,1,B,Sample X1,39
H,1,A,Blank B,9
A,2,A,Blank B,1
B,2,A,Sample X2,36
C,2,A,Sample X2,16
D,2,A,Sample X2,31
E,2,B,Sample X2,69
F,2,B,Sample X2,35
G,2,B,Sample X2,36
H,2,A,Blank B,0
A,3,A,Blank B,2
B,3,A,Sample X3,30
C,3,A,Sample X3,39
D,3,A,Sample X3,33
E,3,B,Sample X3,51
F,3,B,Sample X3,22
G,3,B,Sample X3,29
H,3,A,Blank B,1
A,4,A,Blank B,4
B,4,A,Sample X4,17
C,4,A,Sample X4,37
D,4,A,Sample X4,40
E,4,B,Sample X4,41
F,4,B,Sample X4,47
G,4,B,Sample X4,46
H,4,A,Blank B,0
A,5,A,Blank B,0
B,5,A,Sample X5,5420
C,5,A,Sample X5,4769
D,5,A,Sample X5,4363
E,5,B,Sample X5,2403
F,5,B,Sample X5,4181
G,5,B,Sample X5,3943
H,5,A,Blank B,2
A,6,A,Blank B,2
B,6,A,Sample X6,46
C,6,A,Sample X6,56
D,6,A,Sample X6,34
E,6,B,Sample X6,166
F,6,B,Sample X6,154
G,6,B,Sample X6,198
H,6,A,Blank B,3
A,7,A,Blank B,4
B,7,A,Sample X7,38
C,7,A,Sample X7,26
D,7,A,Sample X7,45
E,7,B,Sample X7,103
F,7,B,Sample X7,138
G,7,B,Sample X7,116
H,7,A,Blank B,6
A,8,A,Blank B,4
B,8,A,Sample X8,24
C,8,A,Sample X8,30
D,8,A,Sample X8,27
E,8,B,Sample X8,57
F,8,B,Sample X8,57
G,8,B,Sample X8,97
H,8,A,Blank B,3
A,9,A,Blank B,0
B,9,A,Sample X9,36
C,9,A,Sample X9,40
D,9,A,Sample X9,27
E,9,B,Sample X9,43
F,9,B,Sample X9,43
G,9,B,Sample X9,71
H,9,A,Blank B,2
A,10,A,Blank B,4
B,10,A,Sample X10,52
C,10,A,Sample X10,36
D,10,A,Sample X10,46
E,10,B,Sample X10,54
F,10,B,Sample X10,23
G,10,B,Sample X10,32
H,10,A,Blank B,3
A,11,A,Blank B,2
B,11,B,Standard S1,1363
C,11,B,Standard S1,1491
D,11,B,Standard S1,1029
E,11,B,Standard S3,3031
F,11,B,Standard S3,2856
G,11,B,Standard S3,3385
H,11,A,Blank B,1
A,12,A,Blank B,4
B,12,B,Standard S2,4460
C,12,B,Standard S2,4607
D,12,B,Standard S2,4002
E,12,B,Standard S4,7273
F,12,B,Standard S4,5581
G,12,B,Standard S4,5692
H,12,A,Blank B,3
